age,experience_years,daily_work_hours,sleep_hours,caffeine_intake,bugs_per_day,commits_per_day,meetings_per_day,screen_time,exercise_hours,burnout_level_encoded,burnout_level
0.26666666666666683,0.7368421052631579,0.013000000000000012,0.256,0.0,0.42105263157894735,0.5862068965517241,0.7777777777777777,0.23946784922394676,0.4,0,Low
0.3333333333333335,0.47368421052631576,0.9420000000000001,0.17400000000000004,0.7142857142857142,0.5263157894736842,0.5172413793103449,1.0,0.8011825572801183,0.435,2,High
0.6666666666666667,0.3684210526315789,0.4960000000000001,0.9339999999999999,0.0,0.42105263157894735,0.10344827586206896,0.1111111111111111,0.7583148558758317,0.7,1,Medium
0.8666666666666669,0.5789473684210527,0.791,0.28800000000000003,0.2857142857142857,0.42105263157894735,0.6896551724137931,0.5555555555555556,0.8514412416851442,0.315,2,High
1.0000000000000002,0.631578947368421,0.4960000000000001,0.3039999999999998,0.5714285714285714,0.7894736842105263,0.9655172413793103,0.4444444444444444,0.8684405025868442,0.525,2,High
0.26666666666666683,0.15789473684210525,0.9880000000000001,0.8899999999999999,0.2857142857142857,0.3684210526315789,0.48275862068965514,0.3333333333333333,0.7420546932742056,0.975,1,Medium
0.8666666666666669,1.0,0.406,0.29000000000000004,0.2857142857142857,0.10526315789473684,0.13793103448275862,0.5555555555555556,0.5151515151515151,0.99,0,Low
0.8666666666666669,0.21052631578947367,0.91,0.4800000000000002,0.42857142857142855,1.0,0.9655172413793103,0.6666666666666666,0.7849223946784925,0.65,2,High
0.8,0.05263157894736842,0.254,0.008000000000000007,0.14285714285714285,0.42105263157894735,0.8275862068965517,1.0,0.5018477457501849,0.89,1,Medium
0.9333333333333333,0.0,0.06799999999999995,0.6380000000000001,0.42857142857142855,0.7368421052631579,0.896551724137931,0.8888888888888888,0.3096821877309683,0.485,1,Medium
0.3333333333333335,0.5789473684210527,0.723,0.4970000000000001,0.0,0.2631578947368421,0.7586206896551724,0.0,0.5521064301552108,0.65,0,Low
0.19999999999999996,0.5263157894736842,0.6509999999999999,0.538,0.14285714285714285,0.47368421052631576,0.27586206896551724,0.1111111111111111,0.6363636363636365,0.7,1,Medium
0.4666666666666668,0.15789473684210525,0.9660000000000001,0.18000000000000005,1.0,0.15789473684210525,0.3793103448275862,0.8888888888888888,0.927568366592757,0.86,2,High
0.0,0.6842105263157894,0.8170000000000001,0.03599999999999992,0.2857142857142857,0.42105263157894735,0.0,0.6666666666666666,0.779009608277901,0.735,1,Medium
0.6000000000000001,0.8421052631578947,0.05499999999999999,0.6960000000000002,0.2857142857142857,0.3157894736842105,0.41379310344827586,0.6666666666666666,0.17294900221729487,0.09,0,Low
0.6666666666666667,0.7368421052631579,0.66,0.236,0.42857142857142855,0.3684210526315789,0.6551724137931034,0.1111111111111111,0.5661492978566149,0.665,1,Medium
